"dataset_id";"dataset_titulo";"autor_nome";"organizacao_nome";"dataset_licenca";"dataset_versao";"publicacao_data";"palavras_chave";"area_conhecimento"
"ctb0025";"Os solos do Vale dos Vinhedos";"Carlos Alberto Flores";"Embrapa Uva e Vinho";"CC BY 4.0";"2.1";"29-01-2018";"Levantamento de solos; Sistemas de informação geográfica; Viticultura; Indicação geográfica; Vale dos Vinhedos";"Gênese, Morfologia e Classificação dos Solos"
"ctb0026";"Conteúdo de ferro do solo no ano de 1998 (ESALQ-USP)";"José Alexandre Melo Demattê";"Escola Superior de Agricultura \"Luiz de Queiroz\"/Universidade de São Paulo";"CC BY 4.0";"2.2";"31-10-2018";"Sensoriamento remoto; Processamento de imagens; Pedologia";"Gênese, Morfologia e Classificação dos Solos"
"ctb0027";"Conjunto de dados de ferro de Guarapuava - PR.";"Aline Marques Genú";"Universidade Estadual do Centro Oeste (UNICENTRO)";"CC BY 4.0";"2.2";"29-01-2018";"Mineralogia; Latossolo Bruno; Óxidos de ferro";"Gênese, Morfologia e Classificação dos Solos"
"ctb0028";"Levantamento Pedológico do Campo Experimental da Embrapa Uva e Vinho em Bento Golçalves, RS";"Gustavo Souza Valladares";"Embrapa Monitoramento por Satélite";"CC BY 4.0";"2.2";"29-01-2018";"Pedologia; Levantamento de solos; Solos; Classificação";"Gênese, Morfologia e Classificação dos Solos"
"ctb0029";"Carbono e matéria orgânica em amostras do solo do Estado do Rio Grande do Sul por diferentes métodos de determinação";"Alessandro Samuel-Rosa";"Universidade Federal de Santa Maria (UFSM)";"CC BY 4.0";"1.6";"20/07/2018";"Função de pedotransferência; Fator de correção; Carbono orgânico";"Fertilidade do Solo e Adubação"
"ctb0030";"Caracterização pedológica em áreas de encosta do rebordo do planalto do RS";"Pablo Miguel";"Universidade Federal de Santa Maria (UFSM)";"CC BY 4.0";"2.1";"29-01-2018";"Levantamento de solos; Bacia hidrográfica; Perdas de solo; EUPS";"Gênese, Morfologia e Classificação dos Solos"
"ctb0031";"Classificação do solo em Arroio Grande, Santa Maria, RS";"Jean Michel Moura-Bueno";"Universidade Federal de Santa Maria (UFSM)";"CC BY 4.0";"1.1";"29/01/2018";"classificaão do solo, levantamento do solo, mapeamento digital de solos";"Gênese, Morfologia e Classificação do Solo"
"ctb0032";"Zoneamento Socioeconômico-Ecológico do Estado de Rondônia -- Dados dos horizontes do solo de cada perfil";"T. T. Cochrane";"Governo do Estado de Rondônia";"CC BY 4.0";"2.2";"29/01/2018";"Solos; Rondônia; Recursos naturais; Fertilidade;";"Gênese, Morfologia e Classificação dos Solos"
"ctb0036";"Solo construído no aterro encerrado da Caturrita, Santa Maria (RS)";"Alessandro Samuel-Rosa";"Universidade Federal de Santa Maria (UFSM)";"CC BY 4.0";"3.0.2";"24/03/2019";"Solos construídos; Solos antrópicos; Solos urbanos; Pedogênese;";"Gênese, Morfologia e Classificação dos Solos"
"ctb0042";"Alteração do pH do solo por influência da diluição, tipo de solvente e tempo de contato";"José Mário Braga";"";"CC BY 4.0";"1.0.1";"31/03/2019";NA;"Fertilidade do Solo e Adubação"
"ctb0562";"Levantamento de Reconhecimento de Média Intensidade dos Solos da Região do Alto Paranaíba, Minas Gerais";"Paulo Emílio Ferreira da Motta";"Embrapa";"CC BY-NC 4.0";"6.0.1";"16-12-2019";"Solo; Classificação; Brasil; Minas Gerais; Alto Paranaíba; Levantamento";"Gênese, Morfologia e Classificação dos Solos"
"ctb0563";"Levantamento pedológico de uma área-piloto relacionada ao Projeto BiosBrasil (Conservation and Sustainable Management of Below-Ground Biodiversity: Phase I), Município de Benjamin Constant (AM): janela 6.";"Coelho";"Embrapa";"CC BY-NC 4.0";"4.0.0";"30/10/2019";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0565";"Levantamento de Reconhecimento de Alta Intensidade dos Solos e Avaliação da Aptidão Agrícola das Terras da Área de Novo Paraíso, Roraima";"Lima";"Embrapa";"CC BY-NC 4.0";"4.0.0";"30-10-2019";"levantamento pedológico; argissolos amarelos; latossolos amarelos; plintossolos; nitossolos;";"Gênese, Morfologia e Classificação dos Solos"
"ctb0566";"Solos das áreas-piloto do Projeto BiosBrasil (Conservation and Sustainable Management of Below-Ground Biodiversity: phase I), Município de Benjamin Constant, Estado do Amazonas";"Maurício Rizzato Coelho";"Embrapa";"CC BY-NC 4.0";"4.0.0";"30-10-2019";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0567";"Levantamento Semidetalhado dos Solos da Microbacia do Córrego da Tábua, no Município de São Fidélis, Rio de Janeiro";"Braz Calderano Filho";"Embrapa";"CC BY-NC 4.0";"4.0.0";"08-12-2019";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0568";"Levantamento pedológico, vulnerabilidade e potencialidade ao uso das terras: quadrículas de Silva Jardim e Rio das Ostras, Estado do Rio de Janeiro";"José Francisco Lumbreras";"Embrapa";"CC BY-NC 4.0";"4.0.0";"08-12-2019";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0569";"Reunião de Correlação, Classificação e Aplicação de Levantamentos de Solos da Região Centro-Oeste RCC - GO/MT";"Virlei Álvaro de Oliveira";"Embrapa";"CC BY-NC 4.0";"2.0.3";"09/03/2019";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0570";"Levantamento expedito dos solos das reservas florestais de Linhares e Sooretama no Estado do Espírito Santo";"Raphael David dos Santos";"Embrapa";"CC BY 4.0";"4.0.0";"09-12-2019";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0572";"Solos do Estado de Santa Catarina";"Reinaldo Oscar Potter";"Embrapa";"CC BY-NC 4.0";"5.0.0";"17/12/2019";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0573";"Conjunto de dados do  'Levantamento Semidetalhado dos Solos da Microbacia do Ribeirão São Domingos, Estado de Minas Gerais.'";"Santos";"Embrapa Solos";"CC BY-NC 4.0";"2.0";"05-09-2017";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0574";"Conjunto de dados do levantamento semidetalhado 'Mapeamento Pedológico e Interpretações Úteis ao Planejamento Ambiental do Município do Rio de Janeiro'";"Lumbreras";"";"CC BY-NC 4.0";"2.0";"11-01-2018";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0577";"Inventário de Terras: microbacia Concórdia (município de Lontras - SC)";"Ivan Luiz Zilli Bacic";"";"CC BY-NC 4.0";"2.0.1";"11/02/2019";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0578";"Conjunto de dados do levantamento detalhado 'Levantamento Detalhado dos Solos da Fazenda Angra-PESAGRO-Rio Estação Experimental de Campos'";"Enio Fraga da Silva";"";"CC BY-NC 4.0";"2.0";"11-01-2018";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0579";"Inventário de Terras: microbacia Córrego Tarumãzinho (município de Águas Frias - SC)";"Ivan Luiz Zilli Bacic";"";"CC BY-NC 4.0";"2.0.1";"11/02/2019";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0580";"Conjunto de dados do levantamento detalhado 'Levantamento Pedológico Detalhado (1:5.000) da Unidade de Pesquisa e Desenvolvimento de Tatuí (APTA Sudoeste Paulista - SAA / SP)'";"Maurício Rizzato Coelho";"Emprapa Solos";"CC BY 4.0";"2.1";"22-10-2018";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0581";"Caracterização dos Solos do Município de Castro, PR";"Pedro J. Fasolo";"Embrapa Solos";"CC BY-NC 4.0";"2.2";"14-08-2018";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0582";"Caracterização dos Solos do Município de Carambeí, PR";"Itamar A. Bognola";"Embrapa Solos";"CC BY-NC 4.0";"2.2";"13-08-2018";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0583";"Conjunto de dados do levantamento semidetalhado 'Levantamento Semidetalhado dos Solos da Microbacia Hidrográfica do Córrego Água Limpa, no
Municípío de Alcinópolis-MS'";"João Souza Martins";"";"CC BY-NC 4.0";"2.0";"11-01-2018";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0584";"Conjunto de dados do levantamento semidetalhado 'Levantamento Semidetalhado dos Solos da Microbacia do Córrego Baixadão no Município de São Gabriel do Oeste/MS'";"João Sousa Martins";"";"CC BY-NC 4.0";"2.0";"11-01-2018";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0585";"Conjunto de dados do  'Solos do Campo Experimental da Embrapa Milho e Sorgo: suas características e classificação no novo sistema brasileiro'";"Luzberto Achá Panoso";"Embrapa Solos";"CC BY-NC 4.0";"2.0";"05-09-2017";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0586";"Inventário de Terras: microbacia Rio Tigre (município de Canoinhas - SC)";"Ivan Luiz Zilli Bacic";"";"CC BY-NC 4.0";"2.0.1";"11/02/2019";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0588";"Conjunto de dados do levantamento semidetalhado 'Levantamento Semidetalhado dos Solos da Microbacia dos Córregos Barroso/Barrozinho no Município de Camapuã, MS'";"João Souza Martins";"";"CC BY-NC 4.0";"2.0";"11-01-2018";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0589";"Conjunto de dados do levantamento detalhado 'Solos do Campo Experimental da Embrapa Algodão, em Patos-PB Levantamento Detalhado e Potencial Edáfico'";"Nivaldo Burgos";"";"CC BY-NC 4.0";"2.0";"11-01-2018";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0590";"Caracterização dos Solos do Município de Tibagi - PR";"Américo P. Carvalho";"EMBRAPA SOLOS";"CC BY 4.0";"2.3";"19-08-2018";"Classificação do solo, Física do solo, Morfologia do solo, Química do solo,Reconhecimento do solo";"Gênese, Morfologia e Classificação dos Solos"
"ctb0591";"Levantamento de Reconhecimento dos Solos da Região Sudeste do Estado do Paraná (áreas 4, 5 e 6)";"Pedro J. Fasolo";"EMBRAPA SOLOS";"CC BY-NC 4.0";"2.2";"30-08-2018";"Brasil, Característica, Classificação, Física, Levantamento, Morfológica,Paraná, Química, Solo";"Gênese, Morfologia e Classificação dos Solos"
"ctb0593";"Conjunto de dados do levantamento de reconhecimento 'Levantamento de Reconhecimento dos Solos da Região Centro-Leste do Estado do Paraná (área 10)'";"Itamar A. Bognola";"";"CC BY-NC 4.0";"2.0";"11-01-2018";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0594";"Levantamento de Reconhecimento dos Solos da Região Central do Estado do Paraná (área 8)";"Itamar A. Bognola";"Embrapa Solos";"CC BY-NC 4.0";"2.2";"30-08-2018";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0595";"Conjunto de dados do levantamento semidetalhado 'Levantamento Semidetalhado dos Solos da Área do Sistema Integrado de Produção Agroecológica (SIPA) - KM 47 - Seropédica, RJ'";"Raphael David dos Santos";"";"CC BY-NC 4.0";"2.0";"11-01-2018";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0597";"Levantamento detalhado dos solos do Campo Experimental da Embrapa Meio Ambiente, Jaguariúna, SP";"Raphael David dos Santos";"Embrapa Solos";"CC BY-NC 4.0";"2.0.0";"11-01-2018";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0598";"Conjunto de dados do  'LEVANTAMENTO DE RECONHECIMENTO DE MÉDIA INTENSIDADE DOS SOLOS E AVALIAÇÃO DA APTIDÃO AGRÍCOLA DAS TERRAS DO PÓLO JURUÁ-SOLIMÕES, AMAZONAS'";"Antonio Agostinho Cavalcanti Lima";"";"CC BY-NC 4.0";"2.0";"11-01-2018";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0599";"Conjunto de dados do levantamento detalhado 'Projeto Parque Frei Veloso - Levantamento Detalhado dos Solos do Campus da Ilha do Fundão UFRJ'";"Raphael David dos Santos";"";"CC BY-NC 4.0";"2.0";"11-01-2018";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0600";"Sistemas Pedológicos no Cerrado de Goiás: Município de Silvânia; Região Centro-Oeste do Brasil";"Philipe Blancaneaux";"Embrapa";"CC BY 4.0";"2.0.3";"09/03/2019";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0602";"Conjunto de dados do  'Guia de Excursão Pedológica do XXX Congresso Brasileiro de Ciência do Solo - Solos da Zona da Mata de Pernambuco'";"Mateus Rosas Ribeiro Filho";"";"CC BY 4.0";"2.0";"11-01-2018";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0603";"Conjunto de dados do  'Levantamento de Reconhecimento de Baixa Intensidade dos Solos do Entorno do Projeto Salitre - Juazeiro, BA'";"Uebi Jorge Naime";"";"CC BY 4.0";"2.0";"11-01-2018";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0604";"Conjunto de dados do  'Estudo Expedito de Solos do Trecho Cuiabá-Aripuanã, MT, Para Fins de Correlação e Classificação'";"Paulo Klinger Tito Jacomine";"";"CC BY 4.0";"2.0";"11-01-2018";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0605";"Levantamento de Reconhecimento de Média Intensidade dos Solos da Zona Campos das Vertentes - MG";"Alfredo Melhem Baruqui";"Embrapa Solos";"CC BY 4.0";"2.0.1";"10/03/2019";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0606";"Conjunto de dados do  'Caracterização de Ambientes na Chapada dos Veadeiros / Vale do Rio Paranã: Contribuição para a Classificação Brasileira de Solos'";"João Roberto Correia";"Embrapa";"CC BY 4.0";"2.0.2";"09/03/2019";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0607";"Levantamento de reconhecimento de média intensidade do solos da região dos Tabuleiros Costeiros e da Baixada Litorânea do Estado de Sergipe";"José Coelho de Araújo Filho";"";"CC BY 4.0";"3.0.2";"20/03/2019";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0608";"Conjunto de dados do  'V Reunião de Classificação, Correlação e Aplicação de Levantamentos de Solos'";"Fernando Barreto Rodrigues e Silva";"";"CC BY 4.0";"2.0";"11-01-2018";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0609";"Conjunto de dados do levantamento de reconhecimento de baixa intensidade 'Levantamento de Reconhecimento de Baixa Intensidade dos Solos e Aptidão Agrícola das Terras de Parte da Região Geoeconômica de Brasília'";"Antonio Ramalho Filho";"Embrapa";"CC BY 4.0";"2.0.5";"21/04/2019";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0610";"Conjunto de dados do levantamento de reconhecimento de média intensidade 'Levantamento de Reconhecimento de Média Intensidade, Avaliação de Aptidão Agrícola das Terras e indicação de Culturas em Áreas Homogêneas de Solos de Alguns Municípios do Sudoeste do Estado de Mato Grosso.'";"Antonio Manoel Pires Filho";"";"CC BY 4.0";"2.0";"11-01-2018";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0613";"Conjunto de dados do levantamento semidetalhado 'Inventário das terras em bacias hidrográficas, 1 Bacia Hidrográfica do Rio Camboriú (Municípios de Camboriú e Balneário Camboriú, SC)'";"Gilberto Tassinari - Ivan Luiz Zilli Bacic - José Augusto Laus Neto - Mara Cristina Benez - Yara Maria Alves Chanin";"";"CC BY-NC 4.0";"2";"xx-xx-2017";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0614";"Conjunto de dados do  'Inventário das terras em microbacias hidrográficas, 5 Microbacia: Ribeirão Caçador (Laurentino, SC). '";"TASSINARI";"";"CC BY-NC 4.0";"2";"xx-xx-2017";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0615";"Conjunto de dados do levantamento semidetalhado 'Inventário das terras em microbacias hidrográficas, 27 Microbacia:Rio Pinheiros (Orleans, SC)'";"Mara Cristina Benez";"";"CC BY-NC 4.0";"2";"xx-xx-2017";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0616";"Conjunto de dados do  'Inventário das terras em microbacias hidrográficas, 26 Microbacia: Linha Anta/Três Ribeirões (Içara, SC). '";"MACIEL";"";"CC BY-NC 4.0";"2";"xx-xx-2017";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0617";"Levantamento de Reconhecimento de Média Intensidade dos Solos e Avaliação da Aptidão Agrícola das Terras do Triângulo Mineiro";"Iderê Azevedo Gomes";"Embrapa Solos";"CC BY-NC 4.0";"2.1";"07-12-2018";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0618";"Conjunto de dados do levantamento semidetalhado 'Inventário das terras em microbacias hidrográficas, 29 Microbacia: Rio Malacara (Praia Grande, SC).'";"TASSINARI";"";"CC BY-NC 4.0";"2";"xx-xx-2017";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0619";"Conjunto de dados do levantamento semidetalhado 'Inventário das terras em microbacias hidrográficas, 17 Microbacia: Lajeado Liso I (Guaraciaba, SC).'";"TASSINARI";"";"CC BY-NC 4.0";"2";"xx-xx-2017";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0620";"Conjunto de dados do levantamento semidetalhado 'Inventário das terras em microbacias hidrográficas, 28 Microbacia: Lageado Sobradinho (Aguas de Chapeco,SC).'";"LAUS NETO";"";"CC BY 4.0";"2";"xx-xx-2017";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0621";"Conjunto de dados do levantamento semidetalhado 'Inventário das terras em microbacias hidrográficas, 12 Microbacia: Capelinha (Ipira,SC).'";"BUCHMANN";"";"CC BY-NC 4.0";"2";"xx-xx-2017";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0622";"Conjunto de dados do levantamento semidetalhado 'Inventário das terras em microbacias hidrográficas, 24 Microbacia: Rio Macaco Branco (Tunápolis, SC)'";"TASSINARI";"";"CC BY-NC 4.0";"2";"xx-xx-2017";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0623";"Conjunto de dados do levantamento semidetalhado 'Inventário das terras em microbacias hidrográficas, 13 Microbacia: Pato Roxo (Lacerdópolis, SC)'";"TASSINARI";"";"CC BY-NC 4.0";"2";"xx-xx-2017";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0624";"Conjunto de dados do levantamento semidetalhado 'Inventário das terras em microbacias hidrográficas, 25 Microbacia: Oeste (Salto Veloso, SC)'";"TASSINARI";"";"CC BY-NC 4.0";"2.0";"11-01-2018";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0626";"Conjunto de dados do levantamento semidetalhado 'Inventário das terras em microbacias hidrográficas, 36 Microbacia: Vale do Selke (Pomerode,SC)'";"Álvaro Afonso Simon - 
José Augusto Laus Neto - 
Sergio Flohr";"";"CC BY-NC 4.0";"2.0";"11-01-2018";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0627";"Conjunto de dados do levantamento semidetalhado 'Inventário das terras em microbacias hidrográficas, 19 Microbacia: Pinheiro Preto II (Pinheiro Preto, SC)'";"CHANIN";"";"CC BY-NC 4.0";"2.0";"11-01-2018";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0628";"Conjunto de dados do levantamento semidetalhado 'Inventário das terras em microbacias hidrográficas, 30 Microbacia: Anta Gorda(Videira,SC).'";"Gilberto Tassinari - 
Celso Brancher";"";"CC BY-NC 4.0";"2.0";"11-01-2018";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0629";"Conjunto de dados do levantamento semidetalhado 'Inventário das terras em microbacias hidrográficas, 21 Microbacia: Rio Pesqueiro (Xanxerê,SC).";"Álvaro Afonso Simon -
Augusto Carlos Pola -
José Augusto Laus -
Altair L. Faé";"";"CC BY-NC 4.0";"2.0";"11-01-2018";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0631";"Levantamento de reconhecimento dos solos do Estado do Paraná - Tomos I e II";"Jorge Olmos Iturri Larach";"Embrapa";"CC BY-NC 4.0";"2.2.3";"12/12/2019";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0632";"Conjunto de dados do levantamento semidetalhado 'Inventário das terras em microbacias hidrográficas, 35 Microbacia: Rio Dourado I (São João do Oeste,SC)'";"TASSINARI";"";"CC BY-NC 4.0";"2.0";"11-01-2018";NA;"Gênese, Morfologia e Classificação dos Solos"
"ctb0635";"Levantamento de reconhecimento dos solos do Distrito Federal";"Flávio Garcia de Freitas";"";"CC BY-NC 4.0";"3.0.0";"28/03/2019";NA;"Gênese, Morfologia e Classificação dos Solos"
